time,rna_copies,label
2021-10-04,,FluA
2021-10-11,,FluA
2021-10-18,,FluA
2021-10-25,,FluA
2021-11-01,,FluA
2021-11-08,,FluA
2021-11-15,,FluA
2021-11-22,,FluA
2021-11-29,,FluA
2021-12-06,,FluA
2021-12-13,,FluA
2021-12-20,,FluA
2021-12-27,,FluA
2022-01-03,,FluA
2022-01-10,,FluA
2022-01-17,,FluA
2022-01-24,,FluA
2022-01-31,,FluA
2022-02-07,,FluA
2022-02-14,,FluA
2022-02-21,,FluA
2022-02-28,,FluA
2022-03-07,,FluA
2022-03-14,,FluA
2022-03-21,,FluA
2022-03-28,,FluA
2022-04-04,,FluA
2022-04-11,,FluA
2022-04-18,,FluA
2022-04-25,,FluA
2022-05-02,,FluA
2022-05-09,,FluA
2022-05-16,,FluA
2022-05-23,,FluA
2022-05-30,,FluA
2022-06-06,,FluA
2022-06-13,,FluA
2022-06-20,,FluA
2022-06-27,,FluA
2022-07-04,,FluA
2022-07-11,,FluA
2022-07-18,,FluA
2022-07-25,,FluA
2022-08-01,,FluA
2022-08-08,,FluA
2022-08-15,,FluA
2022-08-22,,FluA
2022-08-29,,FluA
2022-09-05,,FluA
2022-09-12,,FluA
2022-09-19,,FluA
2022-09-26,,FluA
2022-10-03,,FluA
2022-10-10,,FluA
2022-10-17,,FluA
2022-10-24,,FluA
2022-10-31,,FluA
2022-11-07,,FluA
2022-11-14,,FluA
2022-11-21,,FluA
2022-11-28,,FluA
2022-12-05,,FluA
2022-12-12,,FluA
2022-12-19,,FluA
2022-12-26,,FluA
2023-01-02,,FluA
2023-01-09,,FluA
2023-01-16,,FluA
2023-01-23,,FluA
2023-01-30,,FluA
2023-02-06,,FluA
2023-02-13,,FluA
2023-02-20,,FluA
2023-02-27,,FluA
2023-03-06,,FluA
2023-03-13,,FluA
2023-03-20,,FluA
2023-03-27,,FluA
2023-04-03,,FluA
2023-04-10,,FluA
2023-04-17,,FluA
2023-04-24,,FluA
2023-05-01,,FluA
2023-05-08,,FluA
2023-05-15,,FluA
2023-05-22,,FluA
2023-05-29,,FluA
2023-06-05,,FluA
2023-06-12,,FluA
2023-06-19,,FluA
2023-06-26,,FluA
2023-07-03,,FluA
2023-07-10,,FluA
2023-07-17,,FluA
2023-07-24,,FluA
2023-07-31,,FluA
2023-08-07,,FluA
2023-08-14,,FluA
2023-08-21,,FluA
2023-08-28,,FluA
2023-09-04,,FluA
2023-09-11,,FluA
2023-09-18,,FluA
2023-09-25,,FluA
2023-10-02,,FluA
2023-10-09,,FluA
2023-10-16,,FluA
2023-10-23,,FluA
2023-10-30,,FluA
2023-11-06,,FluA
2023-11-13,,FluA
2023-11-20,,FluA
2023-11-27,,FluA
2023-12-04,,FluA
2023-12-11,,FluA
2023-12-18,,FluA
2023-12-25,,FluA
2024-01-01,,FluA
2024-01-08,,FluA
2024-01-15,,FluA
2024-01-22,,FluA
2024-01-29,,FluA
2024-02-05,,FluA
2024-02-12,,FluA
2024-02-19,,FluA
2024-02-26,,FluA
2024-03-04,,FluA
2024-03-11,,FluA
2024-03-18,,FluA
2024-03-25,,FluA
2024-04-01,,FluA
2024-04-08,,FluA
2024-04-15,,FluA
2024-04-22,,FluA
2024-04-29,,FluA
2024-05-06,,FluA
2024-05-13,,FluA
2024-05-20,,FluA
2024-05-27,,FluA
2024-06-03,,FluA
2024-06-10,,FluA
2024-06-17,,FluA
2024-06-24,,FluA
2024-07-01,,FluA
2024-07-08,,FluA
2024-07-15,,FluA
2024-07-22,,FluA
2024-07-29,,FluA
2024-08-05,,FluA
2024-08-12,,FluA
2024-08-19,,FluA
2024-08-26,,FluA
2024-09-02,,FluA
2024-09-09,,FluA
2024-09-16,,FluA
2024-09-23,,FluA
2024-09-30,,FluA
2024-10-07,0.0,FluA
2024-10-14,0.0,FluA
2024-10-21,0.0,FluA
2024-10-28,0.0,FluA
2024-11-04,83023475669.878,FluA
2024-11-11,83023475669.878,FluA
2024-11-18,83023475669.878,FluA
2024-11-25,0.0,FluA
2024-12-02,87380659659.70366,FluA
2024-12-09,253630692531.34464,FluA
2024-12-16,730168284888.548,FluA
2024-12-23,964181437843.2666,FluA
2025-01-06,1429612777071.61,FluA
2025-01-13,1206622607149.11,FluA
2025-01-20,1159131465245.32,FluA
2025-01-27,1345382482453.4866,FluA
2025-02-03,1322588666658.4866,FluA
2025-02-10,1252630642824.9434,FluA
2025-02-17,1211025479977.09,FluA
2025-02-24,988444053389.2653,FluA
2025-03-03,796448651738.4911,FluA
2025-03-10,351796017249.63837,FluA
2025-03-17,273931571897.42636,FluA
2025-03-24,165338222934.56735,FluA
2025-03-31,102754613666.12431,FluA
2025-04-07,50643987957.08106,FluA
2025-04-14,50643987957.08106,FluA
2025-04-21,68914015496.7171,FluA
2025-04-28,42056793224.427,FluA
2025-05-05,42056793224.427,FluA
2025-05-12,0.0,FluA
2025-05-19,0.0,FluA
2025-05-26,0.0,FluA
2025-06-02,0.0,FluA
2025-06-09,0.0,FluA
2025-06-16,0.0,FluA
2025-06-23,21726365986.69077,FluA
